@id,@type,name,@lat,@lon
8742105961,node,Sunrise Stop,-6.1614067,35.7400917
8742105963,node,Daraja la Kwanza Stop,-6.1624733,35.7203033
8742105965,node,Bati jekundu Stop,-6.1591573,35.7213517
8742105967,node,Lasili Stop,-6.1539750,35.7243633
8742105968,node,Ngelengele Stop,-6.0737684,35.7522941
8742105969,node,Nkuhungu Stop,-6.1455317,35.7199867
8742105970,node,Kitelela Bus Stop,-6.0767493,35.7509780
8742105971,node,Njia Panda ya Area C,-6.1670850,35.7443867
8742105972,node,Kwa Mwinyi Stop,-6.0801212,35.7504849
8742105973,node,Posta Bus Stop,-6.1700990,35.7420058
8742105974,node,Mondo Stop,-6.0560989,35.7552934
8742105975,node,Seje Seje Stop,-6.0587926,35.7552872
8742105976,node,Msalato Stop,-6.0623170,35.7549252
8742105977,node,Alizeti Stop,-6.0700389,35.7533303
8742105981,node,Maabara Stop,-6.1517473,35.7387817
8742105982,node,Stand ya Zamani Stop,-6.1533450,35.7393317
8742105983,node,Mashineni Stop,-6.1568183,35.7391967
8742105984,node,Chang'ombe Stand,-6.1457617,35.7393600
8742105985,node,Njia Panda ya Nkuhungu Stop,-6.1485600,35.7389283
8742105986,node,Bucha Stop,-6.1489271,35.7474384
8742105987,node,Kwa Ringo Stop,-6.1395765,35.7466824
8742105988,node,CCM Stop,-6.1421562,35.7469403
8742105989,node,Mti Mkavu Stop,-6.1455624,35.7471405
8742105990,node,Mchumia Stop,-6.1474631,35.7473514
8742105991,node,Madini Stop,-6.1212671,35.7464845
8742105992,node,Mipango Stop,-6.1238296,35.7463734
8742105993,node,Kwa Maulasa Stop,-6.1278668,35.7465975
8742105994,node,Idara ya Maji Stop,-6.1052212,35.7478044
8742105995,node,Kibaoni Stop,-6.1105522,35.7479200
8742105996,node,Sheli Mpya Stop,-6.1180122,35.7471380
8742105997,node,Upendo Stop,-6.1309963,35.7467199
8742105998,node,Mwisho Wa Lami Stop,-6.1332082,35.7467596
8742105999,node,KKKT Stop,-6.1360817,35.7466007
8742106000,node,Nyanza Stop,-6.1543600,35.7088350
8742106001,node,Bango Stop,-6.1600900,35.7142800
8742106002,node,Gorofani Stop,-6.1287973,35.6772694
8742106003,node,Udizungwa Stop,-6.1310333,35.6801200
8742106004,node,Nguzo Mbili Stop,-6.0863530,35.7493790
8742106005,node,DCT Stop,-6.0944760,35.7487158
8742106006,node,Bible Stop,-6.0970419,35.7489874
8742106007,node,Kwa Kimiti Stop,-6.0986218,35.7487399
8742106008,node,Kwa Mudy Stop,-6.1505520,35.7475724
8742106009,node,Darajani Stop,-6.1534965,35.7476089
8742106010,node,Wajenzi Stop,-6.1591781,35.7465979
8742106011,node,Matairi Matatu Stop,-6.0817030,35.7503330
8742106012,node,Njia Panda Area C Bus Stop,-6.1665385,35.7448375
8742106016,node,Robert Stop,-6.1705617,35.7298400
8742138770,node,Ijenga Stop,-6.2014325,35.7317453
8742138771,node,Kikuyu Mwisho Stop,-6.2023604,35.7285922
8742138772,node,Ngosha stop,-6.1908648,35.7384551
8742138773,node,Mlezi Stop,-6.1822607,35.7366718
8742138774,node,Magorofani Stop,-6.1915625,35.7374175
8742138775,node,Toroka Uje Stop,-6.1945878,35.7329131
8742138776,node,St. John Stand,-6.1961981,35.7291822
8742138777,node,Posta Stop,-6.1842173,35.7486008
8742138778,node,Kwa Mdumi Stop,-6.2067467,35.7373078
8742138779,node,Njiapanda (JWTZ) Stop,-6.2103402,35.7573834
8742138780,node,Zahanati Stop,-6.2298891,35.7604262
8742138781,node,Independence Square Stop,-6.1785955,35.7430441
8742138782,node,Sabasaba Stand,-6.1770067,35.7529179
8742138783,node,Sango Stop,-6.1766667,35.7419567
8742138784,node,CBE Stop,-6.1772903,35.7592298
8742138785,node,Kwa Mjomba Stop,-6.2231384,35.7605257
8742138786,node,Hospital Stop,-6.1813483,35.7443817
8742138787,node,Saoni ya pili Stop,-6.2219167,35.7606639
8742138788,node,Kijiweni Stop,-6.2201875,35.7610970
8742138789,node,Kibaoni Stop,-6.2162728,35.7588872
8742138790,node,Bucha Stop,-6.2279694,35.7604335
8742138791,node,Chama Stop,-6.2258985,35.7603972
8742138792,node,Madukani Stop,-6.2245062,35.7605579
8742138793,node,Kibaoni Stop,-6.2240146,35.7605695
8742138794,node,Benjamini Mkapa Hospital Stand,-6.2306029,35.8486998
8742138796,node,Block T Stop,-6.2339972,35.8325146
8742138798,node,Mwisho Wa Lami Stop,-6.2372554,35.8204426
8742138799,node,Informatics Stop,-6.2171517,35.8074603
8742138800,node,Kimbinyiko Stop,-6.1820570,35.7532242
8742138801,node,Getini Stop,-6.2015634,35.7974994
8742138802,node,Chimwaga Stop,-6.2040748,35.7957301
8742138803,node,Makulu Stop,-6.1886334,35.7781623
8742138804,node,Chako ni Chako Stop,-6.1724167,35.7474164
8742138805,node,Bank Stop,-6.1757570,35.7458907
8742138806,node,Decca College Stop,-6.1816196,35.7452217
8742138807,node,Mazengo Stop,-6.1793898,35.7409404
8742138808,node,General Hospital Stop,-6.1828761,35.7419921
8742138809,node,Hospital Stop,-6.2143261,35.7585190
8742138810,node,Ma Traffic Stop,-6.1969574,35.7515034
8742138811,node,Mwisho wa Lami Stop,-6.1937222,35.7507697
8742138812,node,Camp David Stop,-6.1965145,35.7281272
8742139717,node,Madini Stop,-6.1110683,35.6533033
8742139718,node,Mizani Stop,-6.1160967,35.6600817
8742139719,node,Sheli Mbili Stop,-6.1227367,35.6689975
8751698705,node,Hazina Bus Stop,-6.1864950,35.7587299
8751698706,node,Kimbinyiko Stop,-6.1821569,35.7531938
8766053016,node,njia panda,-6.1734501,35.7665888
8766077617,node,CBE STOP,-6.1775832,35.7592173
